"","Date","^GSPC","AAPL","MSFT","NVDA","TSM","ASML","AVGO","GOOGL","META","DIS","TMUS","VZ","CMCSA","AMZN","TSLA","HD","BABA","MCD","TM","WMT","PG","KO","PEP","COST","FMX","BHP","LIN","RIO","VALE","APD","SCCO"
"1","2015-01-01",1994.98999,26.325043,35.172436,4.610794,17.671135,95.625427,80.697098,26.877501,75.910004,84.775932,30.18,30.657568,22.349468,17.7265,13.573333,86.434013,89.080002,74.651268,121.128876,71.187286,66.455727,31.602783,73.926292,119.869949,72.577324,28.139891,102.231621,22.918409,4.486103,110.589958,20.542002
"2","2015-02-01",2104.5,28.864073,38.17601,5.29761,19.087317,99.066238,100.102669,28.1315,78.970001,97.003967,33.029999,33.558342,25.06752,19.007999,13.556,94.98468,85.120003,79.868172,127.258163,70.307693,67.59539,33.237816,78.025421,123.198013,82.73954,31.899574,108.42878,25.618969,4.734976,118.587433,22.416988
"3","2015-03-01",2067.889893,28.068905,35.6507,5.045598,18.270285,92.948204,99.600662,27.735001,82.220001,97.758896,31.690001,33.001873,23.83905,18.605,12.584667,94.041054,83.239998,79.372925,131.507309,68.900368,65.062447,31.126865,75.376747,131.526596,81.210861,28.224928,102.358772,21.50061,3.605474,114.896271,22.04804
"4","2015-04-01",2085.51001,28.231321,42.647568,5.351758,19.017281,98.47744,91.949051,27.438499,78.769997,101.328499,34.040001,34.230186,24.493088,21.089001,15.07,89.008705,81.290001,78.647949,132.553024,65.774803,63.13295,31.392893,75.485054,124.19059,78.596481,31.988445,103.943535,23.853428,4.900892,109.514977,24.617035
"5","2015-05-01",2107.389893,29.388544,41.086864,5.334882,18.89278,104.093376,116.48616,27.266001,79.190002,102.866325,38.880001,33.930309,24.789921,21.4615,16.719999,92.702843,89.32,78.142914,131.475601,62.589272,62.744301,31.70248,76.524643,124.130013,77.215469,27.834751,104.736366,23.310213,4.151653,112.057594,22.682732
"6","2015-06-01",2063.110107,28.412666,38.962311,4.870361,17.671135,96.520416,104.575523,27.002001,85.769997,106.380005,38.77,31.988119,25.502323,21.7045,17.884001,92.461548,82.269997,78.115364,127.528183,60.151836,62.624252,30.363485,74.072502,117.574791,78.000473,25.389929,101.914635,21.946857,3.881465,104.475586,22.290518
"7","2015-07-01",2103.840088,27.477137,41.212681,4.831611,17.751141,91.922882,98.725304,32.875,94.010002,111.841606,40.66,32.111649,26.573341,26.807501,17.743334,97.887619,78.339996,82.05114,127.251671,61.042274,61.39159,32.057667,77.02491,126.48909,79.357544,23.930527,97.873756,20.567524,3.466301,109.436432,21.115734
"8","2015-08-01",1972.180054,25.542637,38.406338,5.444341,15.960773,84.368469,99.380096,32.390999,89.43,95.505775,39.610001,31.948223,23.984568,25.644501,16.604,97.410851,66.120003,78.074287,112.873161,54.893936,57.028286,30.684221,74.290886,121.918785,77.947945,22.97006,90.679428,19.555662,3.262013,107.148033,20.206232
"9","2015-09-01",1920.030029,25.098486,39.316948,5.995003,16.659256,81.550621,98.622734,31.918501,89.900002,95.805748,39.810001,30.212276,24.21875,25.5945,16.559999,96.599518,58.970001,81.671585,111.824333,55.362686,58.053139,31.308517,75.386108,126.1996,78.140564,19.720699,87.343796,18.504911,2.767769,97.971367,20.32259
"10","2015-10-01",2079.360107,27.191925,46.761044,6.899726,17.630711,86.009125,97.444138,36.869499,101.970001,106.623734,37.889999,32.552319,26.66276,31.295,13.795333,103.943016,83.830002,93.044106,118.544403,48.873543,61.63607,33.335075,82.327271,138.027832,86.755714,21.263533,95.924614,19.976765,2.873208,107.420395,21.113586
"11","2015-11-01",2080.409912,26.918869,48.280083,7.714463,18.272993,85.944252,103.237122,38.142502,104.239998,106.370636,35.5,31.96933,26.024179,33.240002,15.350667,112.551712,84.080002,94.627312,120.284569,50.239677,60.936146,33.547592,80.691879,140.908493,84.383034,17.248741,97.401207,18.100012,2.26474,105.804955,19.56962
"12","2015-12-01",2043.939941,24.054173,49.616066,8.046475,18.264969,82.282883,114.870575,38.900501,104.660004,98.505577,39.119999,32.510937,24.129873,33.794498,16.000668,111.181381,81.269997,98.694122,118.950439,52.340126,64.65715,34.074547,80.498489,141.342682,81.407585,16.653955,88.420959,15.933262,2.210979,100.564568,19.895067
"13","2016-01-01",1940.23999,22.244284,49.267296,7.150525,17.943829,85.12854,106.143089,38.067501,112.209999,90.400726,40.150002,35.148682,23.821999,29.35,12.746667,106.193268,67.029999,103.405792,116.040489,57.13512,66.513565,34.042816,80.559395,132.25827,83.584923,14.164915,86.911667,13.487461,1.646473,98.535835,19.742727
"14","2016-02-01",1932.22998,22.095745,45.502262,7.655871,18.907259,84.368469,106.349457,35.861,106.919998,90.117699,37.099998,36.12215,24.795614,27.625999,12.795333,104.808434,68.809998,97.90052,100.639961,57.117893,65.943443,34.209385,79.358719,131.304291,82.500664,14.617466,88.467377,14.280847,1.975768,103.015083,18.234606
"15","2016-03-01",2059.73999,25.041704,49.747116,8.729988,21.034822,93.053726,122.646782,38.145,114.099998,93.693336,38.299999,38.507515,26.234476,29.681999,15.318,112.669922,79.029999,105.788437,102.786171,58.969013,67.602509,36.79512,83.139267,138.285873,84.898376,16.744465,99.47039,16.084791,2.829246,112.020248,21.13139
"16","2016-04-01",2065.300049,21.537846,44.919231,8.705486,18.939371,89.540688,116.083885,35.394001,117.580002,97.419952,39.279999,36.271683,26.097029,32.9795,16.050667,113.680061,76.940002,106.470253,100.176903,58.000439,65.803833,35.811096,84.125511,129.992935,82.165672,20.508072,102.826965,19.151541,3.81041,114.127892,22.626066
"17","2016-05-01",2096.949951,22.943985,47.738503,11.447238,19.8466,92.673698,122.941353,37.442501,118.809998,93.608437,42.759998,36.625778,27.309372,36.1395,14.882,112.177208,82,102.741371,101.861305,61.391823,67.104683,35.65123,82.662918,130.940704,79.935463,17.648458,96.173767,15.953927,2.641077,111.585449,19.865494
"18","2016-06-01",2098.860107,22.098934,46.412552,11.548203,21.05891,93.053192,123.769714,35.176498,114.279999,92.287621,43.27,40.180424,28.124771,35.780998,14.152,108.977303,79.529999,101.293594,98.492516,63.798439,70.110466,36.234753,86.560379,138.219589,82.165688,18.688911,98.388603,17.808769,3.400471,111.116104,20.611191
"19","2016-07-01",2173.600098,24.089222,51.410263,14.026855,23.140467,102.817162,129.417343,39.567001,123.940002,90.523369,46.34,39.871014,29.013512,37.940498,15.652667,117.981194,82.480003,99.757278,109.928642,63.754738,70.872253,35.143303,89.662575,147.179581,79.50946,19.428352,102.718414,18.673605,3.864172,117.62928,19.854891
"20","2016-08-01",2170.949951,24.526117,52.117741,15.068427,23.940138,99.937683,140.954559,39.4925,126.120003,89.765007,46.34,38.034904,28.274242,38.458,14.134,114.465004,97.190002,98.069923,118.823402,62.417984,72.863037,34.98222,87.876251,142.664368,81.330627,19.63121,107.566101,17.165834,3.541597,122.510185,19.725019
"21","2016-09-01",2168.27002,26.274252,52.570354,16.863249,25.481171,102.779655,137.838577,40.202999,128.270004,88.244545,46.720001,37.780521,28.742155,41.865501,13.602,110.385391,105.790001,98.575729,114.321846,63.443443,74.899284,34.08812,90.172462,134.593292,81.76593,22.877466,106.499603,19.267385,3.696165,118.353554,20.130453
"22","2016-10-01",2126.149902,26.388132,54.687778,17.512966,25.905993,99.065392,136.459152,40.494999,130.990005,88.082993,49.73,34.960426,26.783842,39.491001,13.182,104.663681,101.690002,96.191681,115.660004,61.596088,72.437416,34.43158,88.870857,130.498398,84.990723,23.121758,103.807442,20.10384,4.650446,113.541168,21.730173
"23","2016-11-01",2198.810059,25.686245,54.998085,22.691053,24.731476,96.729919,136.627472,38.793999,118.419998,94.193398,54.209999,36.682343,30.24094,37.5285,12.626667,111.003029,94.019997,101.916847,118.529999,61.956764,69.346848,32.766838,82.984833,132.475204,69.832809,24.785574,106.680641,21.869059,5.705534,123.71302,25.128624
"24","2016-12-01",2238.830078,27.056236,57.097042,26.308781,23.948463,105.237045,141.660126,39.622501,115.050003,99.039909,57.509998,39.240547,30.040802,37.4935,14.246,115.628387,87.809998,104.819214,117.199997,60.804371,70.709236,33.952873,87.381973,141.735336,68.186531,23.623545,103.922729,22.186335,5.120868,123.164902,24.492214
"25","2017-01-01",2278.870117,28.348074,59.403366,26.910177,25.747728,113.866104,160.789505,41.009499,130.320007,105.960686,62.27,36.028076,32.941387,41.174,16.795334,118.646751,101.309998,105.55117,115.75,59.130901,73.669464,34.042953,86.672112,145.134659,67.309715,27.261488,105.694122,25.837908,6.88234,120.401497,29.415194
"26","2017-02-01",2363.639893,32.001671,58.787724,25.012316,26.214197,114.138123,170.001648,42.246498,135.539993,105.424408,62.529999,36.873917,32.688053,42.251999,16.666,124.968002,102.900002,109.925827,113.150002,62.843197,77.194611,34.362335,92.18412,156.846375,72.060661,24.970442,105.935043,23.95155,6.997272,121.013145,28.111599
"27","2017-03-01",2362.719971,33.705318,60.882042,26.882444,27.355391,124.558624,176.473557,42.389999,142.050003,108.584557,64.589996,36.220112,32.836563,44.327,18.553333,126.623787,107.830002,112.435211,108.620003,63.862095,76.160507,34.755424,93.420135,148.845245,79.200531,23.980076,105.836884,24.124594,6.422616,116.550644,27.580118
"28","2017-04-01",2384.199951,33.702976,63.285519,25.739824,27.54698,123.667618,178.771667,46.226002,150.25,110.700897,67.269997,34.11005,34.234222,46.2495,20.938,135.437378,115.5,121.387657,108.139999,67.098396,74.024467,35.648762,95.255882,157.570587,80.560493,24.008013,112.275169,23.614584,5.800636,121.885521,27.180513
"29","2017-05-01",2411.800049,35.840359,64.561218,35.623619,29.454533,125.028008,193.887207,49.3545,151.460007,103.365524,67.419998,35.065884,36.571812,49.730999,22.733999,133.190186,122.459999,130.89534,107.540001,70.150764,75.24041,37.56546,98.274666,160.15358,84.407776,23.664078,118.842056,23.905169,5.84856,124.9739,26.865444
"30","2017-06-01",2423.409912,33.929268,64.085228,35.713028,29.121328,123.43663,188.681396,46.484001,150.979996,101.747154,60.619999,33.577236,34.141872,48.400002,24.107332,133.863861,140.899994,132.864548,105.019997,67.996674,74.437553,37.05323,97.781235,148.123535,88.660431,24.001268,119.075638,25.091234,6.114085,124.106392,26.704466
"31","2017-07-01",2470.300049,35.038876,67.590256,40.147499,30.930317,142.400665,200.55072,47.275002,169.25,105.271194,61.66,36.38913,35.628868,49.389,21.564667,130.547836,154.949997,135.425827,112.839996,71.86911,77.572197,38.182796,98.7295,146.808365,90.950409,28.094767,117.606926,28.097916,7.008489,124.131134,30.336527
"32","2017-08-01",2471.649902,38.636295,69.514763,41.859535,31.799053,148.065231,204.949417,47.762001,171.970001,97.632103,64.709999,36.538837,35.769802,49.029999,23.726667,130.783463,171.740005,139.642044,112.980003,70.14402,79.42897,37.941238,97.984451,145.169037,90.211136,29.33563,118.853828,29.106075,7.735191,126.942955,31.385279
"33","2017-09-01",2519.360107,36.451267,69.623405,44.203358,32.297935,162.169846,197.200897,48.686001,170.869995,95.094818,61.66,37.696625,33.893677,48.067501,22.74,143.57402,172.710007,137.581573,119.169998,70.648544,78.31852,37.491436,95.004005,152.648163,86.127014,27.332714,126.262985,28.651695,7.036438,132.051437,30.77165
"34","2017-10-01",2575.26001,39.980038,77.745697,51.136646,36.409355,171.21611,215.453278,51.652,180.059998,94.361618,59.77,36.462662,31.735682,55.264,22.101999,145.522705,184.889999,146.564621,124,78.939377,74.324265,38.60416,93.980888,149.665665,79.112793,28.180307,132.822006,29.100994,6.840789,139.220703,33.240509
"35","2017-11-01",2647.580078,40.644634,78.670998,49.62833,34.061199,166.262009,226.907135,51.808498,177.179993,101.124481,61.07,39.228031,33.203876,58.837502,20.59,157.847168,177.080002,151.007828,126.339996,87.908333,78.046783,38.427849,99.343689,171.361038,81.114304,28.572277,139.912155,29.082779,7.476653,143.260803,32.543968
"36","2017-12-01",2673.610107,40.168858,80.353035,47.878792,34.104202,164.651672,209.730331,52.669998,176.460007,103.719635,63.509998,40.800545,35.423954,58.473499,20.756666,167.213486,172.429993,152.040512,127.169998,89.282608,79.685959,38.83601,102.951767,173.444427,85.327477,31.625484,140.602936,32.136776,8.545746,144.174667,36.930885
"37","2018-01-01",2823.810059,39.741604,89.248795,60.819679,38.972546,192.254623,203.831314,59.111,186.889999,105.682114,65.099998,41.679314,37.617489,72.544502,23.620667,177.24472,204.289993,151.174896,137.919998,96.887955,74.881203,40.283463,103.278038,181.598511,88.635155,33.709091,147.55275,34.067532,9.244101,148.802933,37.787029
"38","2018-02-01",2713.830078,42.279007,88.083977,59.879414,37.286682,185.083939,202.541092,55.195999,178.320007,100.323608,60.610001,37.219036,32.154346,75.622498,22.870667,160.808304,186.139999,139.338165,134.600006,81.809418,68.618195,36.584396,94.203629,177.898895,83.873558,31.976196,136.825958,33.217518,9.696066,142.103821,41.040367
"39","2018-03-01",2640.870117,39.987049,86.13829,57.339226,37.639328,188.0867,193.65741,51.856998,159.789993,97.678398,61.040001,37.28141,30.342827,72.366997,17.742001,157.252853,183.539993,139.010681,130.369995,80.864182,69.282364,36.76215,93.705704,176.067001,83.082977,30.552736,131.846313,31.286749,8.982807,140.548386,42.442741
"40","2018-04-01",2648.050049,39.386459,88.26181,55.682861,33.072048,178.509979,191.300247,50.929001,172,97.571419,60.509998,38.47422,27.874201,78.306503,19.593332,163.970215,178.539993,148.842239,130.979996,80.87999,63.217533,36.898804,87.297821,184.224213,87.835503,32.937458,140.113724,34.494987,9.884056,144.433929,41.36953
"41","2018-05-01",2705.27002,44.536766,93.282677,62.439575,33.287071,187.927399,210.186783,55,191.779999,96.735069,55.700001,37.632088,27.845562,81.481003,18.982,165.52298,198.009995,142.237503,127.970001,75.467247,64.534576,36.719479,86.70108,185.233353,75.713356,35.072224,143.549484,35.593555,9.712657,143.650757,38.29874
"42","2018-06-01",2718.370117,44.287437,93.469002,58.690201,31.446398,189.188873,202.323639,56.459499,194.320007,101.928238,59.75,39.716187,29.301247,84.989998,22.863333,174.078445,185.529999,139.286285,128.809998,78.804138,68.84745,37.453865,95.022018,195.83812,80.413124,35.234272,145.285751,34.827698,9.155607,138.595734,36.92907
"43","2018-07-01",2816.290039,45.526749,100.549545,60.662239,36.742405,204.507813,187.401108,61.361,172.580002,110.437653,60,40.766125,31.953629,88.872002,19.875999,176.237701,187.229996,140.931412,131.839996,82.097984,71.334648,40.173923,100.372322,204.956253,89.893425,36.819496,154.675186,34.840248,10.469674,147.14444,38.890945
"44","2018-08-01",2901.52002,54.460323,106.473724,69.536385,38.873299,195.954803,185.08577,61.59,175.729996,109.815697,66.040001,43.41888,33.22665,100.635498,20.110666,179.137497,175.009995,145.126968,124.080002,88.198051,73.82431,38.399136,97.762634,218.469437,87.823326,33.846317,146.077988,30.150938,9.42699,149.044571,34.384136
"45","2018-09-01",2913.97998,54.197552,108.824554,69.658676,39.372589,179.680222,208.492935,60.354,164.460007,114.638893,70.18,42.636269,31.8074,100.150002,17.651333,185.777512,164.759995,150.587769,124.349998,86.905754,74.073532,39.794842,97.579346,220.655777,90.653679,35.114502,149.174316,32.830845,10.90742,149.725769,34.28466
"46","2018-10-01",2711.73999,52.545742,101.631119,52.260124,33.969555,164.714798,190.272507,54.528999,151.789993,112.570412,68.550003,45.591022,34.259647,79.900497,22.488001,157.73378,142.279999,159.238297,117.050003,92.800636,78.92395,41.601727,98.896889,214.784286,77.921684,33.435276,153.573532,31.717606,11.098521,139.251801,30.469963
"47","2018-11-01",2760.169922,42.874985,105.513275,40.5107,33.514843,163.749619,202.123596,55.482498,140.610001,113.217415,68.449997,48.688068,35.22958,84.508499,23.365334,161.715652,160.860001,169.689178,121.480003,90.366798,84.855797,43.791298,107.309906,217.273804,79.460503,32.117561,147.615097,30.089573,10.069519,145.134018,26.607573
"48","2018-12-01",2506.850098,38.003685,97.062675,33.124832,32.908569,148.717331,216.486145,52.248001,131.089996,107.49234,63.610001,45.393764,30.750248,75.098503,22.186666,155.014435,137.070007,160.827164,116.080002,86.202446,82.53035,41.466549,97.224846,191.828339,79.483795,34.962963,144.821518,31.196383,9.694668,144.394226,24.70332
"49","2019-01-01",2704.100098,40.099739,99.795776,35.668125,33.541592,167.266388,230.786346,56.294498,166.690002,110.173538,69.620003,44.457138,33.209732,85.936501,20.468,165.579056,168.490005,161.92305,123.169998,89.166504,86.615578,42.149635,99.939384,202.111404,84.074539,37.062618,152.089935,36.209167,9.143416,149.331879,26.991398
"50","2019-02-01",2784.48999,41.716351,107.05851,38.275925,34.81657,174.758621,236.903351,56.327499,161.449997,111.477608,72.209999,46.438614,35.116756,81.991501,21.325333,167.031601,183.029999,166.505966,121.040001,92.106758,89.182945,39.70631,102.573807,205.981674,83.714317,39.943535,161.634659,37.451103,9.172817,164.583923,28.589052
